iso1,iso2,group,community
-29.0676365,1.7314585,EyakSouth,Beetle
-28.99331,2.880832,EyakSouth,Beetle
-28.97219,2.623386,EyakSouth,Beetle
-28.715813,2.468344,EyakSouth,Beetle
-28.6024805,2.1216834,EyakSouth,Beetle
-29.6137177,-0.085665,EyakSouth,Bogbean
-29.5129716,1.3691884,EyakSouth,Bogbean
-28.3891,2.209926,EyakSouth,Bogbean
-28.146,2.019421,EyakSouth,Bogbean
-27.3012,2.54848,EyakSouth,Bogbean
-29.56148,1.9244745,EyakSouth,Caddisfly
-28.9747,3.546726,EyakSouth,Caddisfly
-29.07653,1.3115469,EyakSouth,Clams
-28.87243,3.490267,EyakSouth,Damselfly
-28.4502218,2.6840487,EyakSouth,Damselfly
-28.1184,2.663537,EyakSouth,Damselfly
-27.9135,3.22742,EyakSouth,Damselfly
-27.4105751,2.9218335,EyakSouth,Damselfly
-27.2987207,2.2102805,EyakSouth,Damselfly
-29.2791428,2.7407928,EyakSouth,Dragonfly
-29.1183521,2.4624765,EyakSouth,Dragonfly
-28.9722,2.131291,EyakSouth,Dragonfly
-27.9638765,1.7648269,EyakSouth,Dragonfly
-27.889964,1.4663651,EyakSouth,Dragonfly
-29.2821389,1.899539,EyakSouth,Fly
-29.0833976,1.3393036,EyakSouth,Fly
-28.63184,1.1982943,EyakSouth,Fly
-28.1667,2.307093,EyakSouth,Horsetail
-27.9342,2.05468,EyakSouth,Horsetail
-27.2208,1.444128,EyakSouth,Horsetail
-30.75488,-0.287696,EyakSouth,Milfoil
-23.2255925,0.3837459,EyakSouth,Milfoil
-23.0712,3.453107,EyakSouth,Milfoil
-29.56047,3.060319,EyakSouth,Mite
-28.53576,3.9985465,EyakSouth,Mite
-28.01687,3.7791735,EyakSouth,Mite
-27.11887,3.6450115,EyakSouth,Mite
-26.8625742,-2.8000585,EyakSouth,Peat Moss
-26.0707,0.918846,EyakSouth,Peat Moss
-25.6060157,-2.8338923,EyakSouth,Peat Moss
-25.5503,0.111105,EyakSouth,Peat Moss
-24.7377,1.94975,EyakSouth,Peat Moss
-27.91,-0.17,EyakSouth,Sedge
-27.72,-0.72,EyakSouth,Sedge
-27.62,-0.08,EyakSouth,Sedge
-30.22818,1.020989,EyakSouth,Water Boatman
-26.4615,-0.8079,EyakSouth,Water Boatman
-25.62652,1.1082492,EyakSouth,Water Boatman
-24.43247,0.1242512,EyakSouth,Water Boatman
-26.0667,2.498405,EyakSouth,Yellow Pond Lily
-25.5935,2.581138,EyakSouth,Yellow Pond Lily
-25.4168,2.946908,EyakSouth,Yellow Pond Lily
-29.5566,4.117344,ThePinch,Amphipod
-29.5507,4.213804,ThePinch,Amphipod
-31.4442,2.248914,ThePinch,Beetle
-31.0188782,0.5890205,ThePinch,Beetle
-30.5222345,2.2171541,ThePinch,Beetle
-29.717081,1.5006604,ThePinch,Beetle
-28.694132,1.8667859,ThePinch,Beetle
-28.81,2.59,ThePinch,Bladderwort
-28.64227512,0.9952912,ThePinch,Bladderwort
-28.11,0.56,ThePinch,Bladderwort
-27.792275,0.5228176,ThePinch,Bladderwort
-27.6977138,-0.171128,ThePinch,Bladderwort
-29.9757394,0.4526,ThePinch,Bogbean
-29.8085673,-3.2275947,ThePinch,Bogbean
-28.588,-0.93504,ThePinch,Bogbean
-27.8085,-0.951369,ThePinch,Bogbean
-27.6166,-0.542055,ThePinch,Bogbean
-32.02566,1.7766252,ThePinch,Clams
-29.76650272,2.3398108,ThePinch,Cotton Grass
-28.47626768,-1.2378848,ThePinch,Cotton Grass
-27.75,-0.89,ThePinch,Cotton Grass
-27.19,-0.2,ThePinch,Cotton Grass
-27.083066,-1.3541576,ThePinch,Cotton Grass
-32.6237891,2.241805,ThePinch,Damselfly
-30.94106,1.9901342,ThePinch,Damselfly
-31.092782,3.5226004,ThePinch,Dragonfly
-30.9369848,3.2289722,ThePinch,Dragonfly
-30.8074,2.772405,ThePinch,Dragonfly
-30.8071538,1.3798351,ThePinch,Dragonfly
-30.1055,2.931521,ThePinch,Dragonfly
-33.31041,1.7524894,ThePinch,Fly
-31.400315,1.9168385,ThePinch,Fly
-30.773537,1.8399058,ThePinch,Fly
-29.21253,0.5284645,ThePinch,Fly
-26.8533,1.219338,ThePinch,Horsetail
-26.5705,2.700475,ThePinch,Horsetail
-25.4729,0.644028,ThePinch,Horsetail
-29.8107815,0.4526,ThePinch,Milfoil
-29.0842,0.151383,ThePinch,Milfoil
-28.2434,-0.439727,ThePinch,Milfoil
-26.815,1.451171,ThePinch,Milfoil
-26.41752,2.0412507,ThePinch,Milfoil
-33.68343,4.1707815,ThePinch,Mite
-32.0260886,-1.6527851,ThePinch,Peat Moss
-31.6374965,-3.1091764,ThePinch,Peat Moss
-29.499,-0.60846,ThePinch,Peat Moss
-29.1163,-0.303652,ThePinch,Peat Moss
-28.3871,-2.082424,ThePinch,Peat Moss
-30.2,0.22,ThePinch,Purple Marshlocks
-29.17,-0.56,ThePinch,Purple Marshlocks
-28.3,0.68,ThePinch,Purple Marshlocks
-29.07725664,-2.6128568,ThePinch,Sedge
-27.77,-2.57,ThePinch,Sedge
-26.55,0.92,ThePinch,Sedge
-30.4517,1.023872,ThePinch,Snail
-34.97663,0.774126,ThePinch,Water Boatman
-34.4702,-0.01597,ThePinch,Water Boatman
-32.66375,0.603704,ThePinch,Water Boatman
-29.04794,-0.059552,ThePinch,Water Boatman
-27.0189,-0.474562,ThePinch,Yellow Pond Lily
-26.81,0.435508,ThePinch,Yellow Pond Lily
-26.4634,-0.408157,ThePinch,Yellow Pond Lily
-31.6748,-0.77993,Strawberry,Amphipod
-37.73380916,0.9832948,Strawberry,Bladderwort
-36.64110196,1.5692728,Strawberry,Bladderwort
-36.04,1.65,Strawberry,Bladderwort
-35.8,1.56,Strawberry,Bladderwort
-35.40340092,1.2665944,Strawberry,Bladderwort
-30.5171113,-2.1433752,Strawberry,Bogbean
-29.9004566,0.4725927,Strawberry,Bogbean
-28.155,2.553923,Strawberry,Bogbean
-28.1189,0.598798,Strawberry,Bogbean
-26.3841,1.821295,Strawberry,Bogbean
-29.64545,3.1013093,Strawberry,Caddisfly
-37.6622306,2.8849048,Strawberry,Damselfly
-37.0080821,2.5894752,Strawberry,Damselfly
-35.6167,2.629108,Strawberry,Damselfly
-35.1962,3.315817,Strawberry,Damselfly
-38.2414766,3.2388799,Strawberry,Damselfly
-33.8671706,3.3757863,Strawberry,Dragonfly
-33.3338648,3.1389022,Strawberry,Dragonfly
-33.1121534,3.2127596,Strawberry,Dragonfly
-31.2034,1.567408,Strawberry,Dragonfly
-26.9272,2.304235,Strawberry,Horsetail
-26.9183,-0.48945,Strawberry,Horsetail
-26.9114,1.329828,Strawberry,Horsetail
-30.225,5.325024,Strawberry,Leech
-28.908805,-2.421004,Strawberry,Mare's Tail
-28.016825,-2.854507,Strawberry,Mare's Tail
-35.1868,4.6258445,Strawberry,Mite
-28.08224,4.030274,Strawberry,Mite
-32.2641151,-3.8873538,Strawberry,Pondweed
-32.0914075,-7.298416,Strawberry,Pondweed
-30.7105,-1.496757,Strawberry,Pondweed
-29.6588,-6.965884,Strawberry,Pondweed
-28.9536,0.442039,Strawberry,Pondweed
-28.6909,2.563315,Strawberry,Purple Marshlocks
-28.5943,2.562363,Strawberry,Purple Marshlocks
-27.9184,1.756548,Strawberry,Purple Marshlocks
-29.31,2.14,Strawberry,Sedge
-28.79,3.2,Strawberry,Sedge
-28.55,-2.91,Strawberry,Sedge
-38.19154,1.559155,Strawberry,Water Boatman
-37.18493,1.3461275,Strawberry,Water Boatman
-27.8707,-0.28188,Strawberry,Yellow Pond Lily
-26.5046,-0.228538,Strawberry,Yellow Pond Lily
-26.3389,-0.257931,Strawberry,Yellow Pond Lily
