iso1,iso2,group,community
-29.6137177,-0.085665,Bogbean,EYS
-29.5129716,1.3691884,Bogbean,EYS
-28.3891,2.209926,Bogbean,EYS
-28.146,2.019421,Bogbean,EYS
-27.3012,2.54848,Bogbean,EYS
-28.1667,2.307093,Horsetail,EYS
-27.9342,2.05468,Horsetail,EYS
-27.2208,1.444128,Horsetail,EYS
-30.75488,-0.287696,Milfoil,EYS
-23.2255925,0.3837459,Milfoil,EYS
-23.0712,3.453107,Milfoil,EYS
-26.8625742,-2.8000585,Peat Moss,EYS
-26.0707,0.918846,Peat Moss,EYS
-25.6060157,-2.8338923,Peat Moss,EYS
-25.5503,0.111105,Peat Moss,EYS
-24.7377,1.94975,Peat Moss,EYS
-27.91,-0.17,Sedge,EYS
-27.72,-0.72,Sedge,EYS
-27.62,-0.08,Sedge,EYS
-26.0667,2.498405,Yellow Pond Lily,EYS
-25.5935,2.581138,Yellow Pond Lily,EYS
-25.4168,2.946908,Yellow Pond Lily,EYS
-37.73380916,0.9832948,Bladderwort,STB
-36.64110196,1.5692728,Bladderwort,STB
-36.04,1.65,Bladderwort,STB
-35.8,1.56,Bladderwort,STB
-35.40340092,1.2665944,Bladderwort,STB
-30.5171113,-2.1433752,Bogbean,STB
-29.9004566,0.4725927,Bogbean,STB
-28.155,2.553923,Bogbean,STB
-28.1189,0.598798,Bogbean,STB
-26.3841,1.821295,Bogbean,STB
-26.9272,2.304235,Horsetail,STB
-26.9183,-0.48945,Horsetail,STB
-26.9114,1.329828,Horsetail,STB
-28.908805,-2.421004,Mare's Tail,STB
-28.016825,-2.854507,Mare's Tail,STB
-32.2641151,-3.8873538,Pondweed,STB
-32.0914075,-7.298416,Pondweed,STB
-30.7105,-1.496757,Pondweed,STB
-29.6588,-6.965884,Pondweed,STB
-28.9536,0.442039,Pondweed,STB
-28.6909,2.563315,Purple Marshlocks,STB
-28.5943,2.562363,Purple Marshlocks,STB
-27.9184,1.756548,Purple Marshlocks,STB
-29.31,2.14,Sedge,STB
-28.79,3.2,Sedge,STB
-28.55,-2.91,Sedge,STB
-27.8707,-0.28188,Yellow Pond Lily,STB
-26.5046,-0.228538,Yellow Pond Lily,STB
-26.3389,-0.257931,Yellow Pond Lily,STB
-28.96385,0.5879352,Bogbean,SWN
-28.8819246,0.5971626,Bogbean,SWN
-28.2394,2.675846,Bogbean,SWN
-27.5162,2.902275,Bogbean,SWN
-26.8582,3.628371,Bogbean,SWN
-21.92,1.56,Elodea,SWN
-21.25,0.43,Elodea,SWN
-19.9293134,-0.3197858,Elodea,SWN
-17.9523,-0.348284,Elodea,SWN
-17.760137,0.9132725,Elodea,SWN
-26.9331,2.503308,Horsetail,SWN
-26.3479,3.236733,Horsetail,SWN
-25.5961,3.897768,Horsetail,SWN
-29.8201,3.972063,Mare's Tail,SWN
-29.4437,3.435805,Mare's Tail,SWN
-28.1283,2.71762,Mare's Tail,SWN
-28.2335039,2.1643448,Milfoil,SWN
-26.788385,2.4237464,Milfoil,SWN
-24.5163425,-0.2657438,Milfoil,SWN
-33.1176892,-0.6131647,Peat Moss,SWN
-31.9519129,-1.9588272,Peat Moss,SWN
-30.9220043,1.5779891,Peat Moss,SWN
-30.5994242,1.2384252,Peat Moss,SWN
-26.0912924,0.6862961,Peat Moss,SWN
-29.85272,-0.153679,Pondweed,SWN
-29.802845,-0.645979,Pondweed,SWN
-29.753405,2.010164,Pondweed,SWN
-29.71272,-3.703873,Pondweed,SWN
-29.50466,1.897268,Pondweed,SWN
-29.392905,1.271048,Pondweed,SWN
-29.36664,-3.047224,Pondweed,SWN
-29.33059,1.446125,Pondweed,SWN
-29.20604,0.164744,Pondweed,SWN
-28.913955,-1.073308,Pondweed,SWN
-28.832585,1.256936,Pondweed,SWN
-28.75673,1.361618,Pondweed,SWN
-28.70641,-3.070156,Pondweed,SWN
-28.660575,-0.119425,Pondweed,SWN
-28.38596,-0.795481,Pondweed,SWN
-28.36454,1.106797,Pondweed,SWN
-28.04732,-0.142115,Pondweed,SWN
-27.71684,2.091802,Pondweed,SWN
-27.58322,2.567165,Pondweed,SWN
-27.50264,0.61987,Pondweed,SWN
-27.40655,2.19803,Pondweed,SWN
