Source,Meand13C,SDd13C,Meand15N,SDd15N,Pond,Status,n
Bogbean,-28.09191492,0.902723393,1.401220126,1.401220126,Swanny,Elodea,5
Elodea,-19.76235008,1.882921316,0.44704054,0.818062519,Swanny,Elodea,5
Horsetail,-26.29236667,0.670227732,3.212603,0.697543092,Swanny,Elodea,5
MaresTail,-29.1307,0.888269981,3.375162667,0.62941634,Swanny,Elodea,3
Millfoil,-26.5127438,1.873847852,1.440782467,1.483575486,Swanny,Elodea,3
PeatMoss,-30.5364646,2.672937288,0.1861437,1.460691315,Swanny,Elodea,5
Pondweed,-28.62716717,0.955567275,0.158917565,1.773059599,Swanny,Elodea,23
PurpleMarshlocks,-28.07573333,0.792093595,0.894535333,0.583346128,Swanny,Elodea,3
ReedGrass,-33.2128998,0.034444868,3.743706,0.041323462,Swanny,Elodea,2
Sedge,-27.0600465,0.624005491,2.001869233,1.594947577,Swanny,Elodea,3
Willow,-28.3385,2.203627573,3.634048,1.33434868,Swanny,Elodea,2
YellowPondlily,-25.8945485,0.27849408,2.052958233,0.65050019,Swanny,Elodea,3
