Source,Meand13C,SDd13C,Meand15N,SDd15N,Pond,Status,n
Algae,-28.60848247,1.13306556,-0.93588504,0.122737769,WCW,Elodea,5
Bogbean,-27.64861229,1.40976554,0.53275475,1.202426372,WCW,Elodea,8
Burreed,-33.3421,3.90338423,1.2662775,0.560560822,WCW,Elodea,4
Elodea,-18.84921504,2.027321322,-0.21262643,1.14512135,WCW,Elodea,3
MaresTail,-29.101225,0.954346667,3.1657365,0.687114751,WCW,Elodea,2
Millfoil,-27.95328914,3.949991272,-2.0505949,0.825379325,WCW,Elodea,5
PeatMoss,-26.2721,0.680337328,-0.365656778,0.447140311,WCW,Elodea,3
Pondweed,-28.19110525,1.076112505,-0.488752471,1.632107106,WCW,Elodea,17
PurpleMarshlocks,-28.47139,1.249831291,1.36176625,0.392757333,WCW,Elodea,4
Sedge,-28.66965,0.446619879,1.40110225,1.441850238,WCW,Elodea,4
YellowPondlily,-31.983785,3.669264485,0.891982333,0.280537838,WCW,Elodea,4
