Source,Meand13C,SDd13C,Meand15N,SDd15N,Pond,Status,n
Algae,-30.26027994,3.89081469,-0.06840848,0.872007748,Wigeon,Elodea,5
CottonGrass,-28.74226499,1.248636118,0.74552488,1.131096718,Wigeon,Elodea,5
Elodea,-17.93608,1.902009395,-0.8722934,1.092384536,Wigeon,Elodea,5
Horsetail,-27.7593,0.078771695,2.4513965,0.672845336,Wigeon,Elodea,2
MaresTail,-28.67153333,1.797833166,1.113927667,0.416333597,Wigeon,Elodea,3
Pondweed,-28.89229852,1.280164631,-1.26919068,2.605390982,Wigeon,Elodea,5
PurpleMarshlocks,-28.71,0.043588989,-0.006666667,0.045092498,Wigeon,Elodea,3
ReedGrass,-29.70281159,1.781364888,2.991712925,2.500467188,Wigeon,Elodea,4
Sedge,-28.96833615,1.736779231,-0.0800784,0.127347514,Wigeon,Elodea,3
Willow,-28.4463,0.535845519,-1.17943,0.289503658,Wigeon,Elodea,2
YellowPondlily,-27.15083236,3.112551988,0.77310975,0.635771104,Wigeon,Elodea,4
